family,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
FROZEN FOODS,2592,0.2804153363489723,0.20965223848304293,0.0,0.0,131.76311072723766,131.92017962396432,341529.983005,341937.1055853155,0.15706889672665184,1.7465277777777777
PREPARED FOODS,2592,0.2732932533257825,0.20365961212640984,0.0,0.0,89.44219134953704,88.89717717995954,231834.159978,230421.48325045515,-0.5450141695774907,0.19753086419753085
HOME CARE,2592,0.22307359413682096,0.16878843732795368,0.0,0.0,318.0783179012346,317.74251024824844,824459.0,823588.58656346,-0.33580765298611176,10.282407407407407
PERSONAL CARE,2592,0.22088019044150717,0.16129999659631922,0.0,0.0,317.9332561728395,310.2953168888158,824083.0,804285.4613758107,-7.6379392840236395,7.035108024691358
BOOKS,2592,0.21843083485499662,0.19893869073915982,0.9810956790123457,0.020061728395061727,0.02199074074074074,0.21607364066830084,57.0,560.0628766122358,0.1940828999275601,0.0
BEVERAGES,2592,0.2123815512526961,0.15255121752627712,0.0,0.0,3595.8996913580245,3570.5587802925343,9320572.0,9254888.358518248,-25.340911065490932,28.673996913580247
MEATS,2592,0.20633815642720324,0.152567304395806,0.0,0.0,381.9731280385802,375.7066131188162,990074.347876,973831.5412039716,-6.266514919764026,4.835262345679013
POULTRY,2592,0.20591842328733612,0.15261467563536868,0.0,0.0,393.0142862010031,388.85356667344803,1018693.029833,1007908.4448175773,-4.160719527555087,4.116512345679013
DELI,2592,0.1790218645723673,0.13751908194671597,0.0,0.0,316.5109456049383,325.31412155067346,820396.371008,843214.2030593456,8.803175945735205,15.152777777777779
BREAD/BAKERY,2592,0.16857820667417445,0.12696901630771176,0.0,0.0,547.0781936766975,553.1580705682901,1418026.67801,1433785.718913008,6.079876891592611,9.839891975308642
DAIRY,2592,0.15678449800724595,0.12340833852361154,0.0,0.0,871.875,940.0784109931378,2259900.0,2436683.241294213,68.20341099313778,25.29861111111111
PRODUCE,2592,0.15298319634172064,0.11558528120194579,0.0,0.0,2340.521011566358,2450.511955795455,6066630.46198,6351726.989421819,109.99094422909705,28.665895061728396
GROCERY I,2592,0.1514217571774544,0.11476474039410782,0.0,0.0,4630.697964506173,4676.212065187137,12002769.124,12120741.67296506,45.51410068096494,58.523533950617285
