store_nbr,city,store_type,promotion_bin,baseline_row_count,baseline_squared_log_error_sum,baseline_mean_actual_sales,baseline_mean_predicted_sales,baseline_mean_signed_error,baseline_mean_onpromotion,baseline_rmsle,baseline_error_share,experiment_row_count,experiment_squared_log_error_sum,experiment_mean_actual_sales,experiment_mean_predicted_sales,experiment_mean_signed_error,experiment_mean_onpromotion,experiment_rmsle,experiment_error_share,rmsle_delta,mean_predicted_sales_delta,mean_signed_error_delta
43,Esmeraldas,E,0,16,8.48923980144274,2.3125,2.392454653802425,0.07995465380242485,0.0,0.728407501052928,0.013085990086267077,16,8.627616387012333,2.3125,2.390856030348857,0.07835603034885726,0.0,0.7343201101619584,0.021082406622316294,0.0059126091090304644,-0.0015986234535678712,-0.0015986234535675936
52,Manta,A,0,16,7.7327893469608,6.0,3.4327027457866923,-2.5672972542133077,0.0,0.695197334707959,0.011919937132218051,16,6.7447792294162365,6.0,4.336569308259834,-1.6634306917401651,0.0,0.6492678198082166,0.016481513770867547,-0.045929514899742396,0.9038665624731421,0.9038665624731426
34,Guayaquil,B,0,16,6.272615554248773,4.8125,2.243798790297447,-2.568701209702553,0.0,0.6261297566323999,0.009669108998889878,16,5.525486693695397,4.8125,2.415672241455229,-2.396827758544771,0.0,0.5876588452120518,0.013502055728630287,-0.038470911420348086,0.17187345115778196,0.17187345115778196
28,Guayaquil,E,0,16,6.190292950794837,2.1875,3.44838149668649,1.2608814966864899,0.0,0.6220074834153343,0.009542210383952553,16,6.1042743201980345,2.1875,3.4613534296779083,1.273853429677908,0.0,0.6176707415867917,0.014916378705282644,-0.004336741828542601,0.012971932991418189,0.012971932991418189
36,Libertad,E,0,16,6.1512356539251405,1.125,0.4424904715770924,-0.6825095284229076,0.0,0.6200421182228844,0.00948200435707764,16,6.079532434834123,1.125,0.4487764912275598,-0.6762235087724402,0.0,0.6164176970019053,0.014855919539686228,-0.003624421220979057,0.006286019650467378,0.006286019650467378
31,Babahoyo,B,0,15,5.978360501390852,1.4666666666666666,1.639388342728513,0.17272167606184638,0.0,0.6313140001294048,0.00921552083380137,15,5.894015449913089,1.4666666666666666,1.6423798326524066,0.17571316598574,0.0,0.626844768126479,0.014402591026223455,-0.004469232002925705,0.002991489923893642,0.0029914899238936143
29,Guayaquil,E,0,16,5.943891576685952,1.875,1.7538894534553817,-0.12111054654461817,0.0,0.6095024393247922,0.009162387689076686,16,5.94542611630818,1.875,1.7700786810120155,-0.10492131898798458,0.0,0.6095811121329641,0.01452821791145414,7.867280817186462e-05,0.016189227556633767,0.016189227556633587
21,Santo Domingo,B,0,16,4.663165218457319,0.375,0.6434564442719846,0.2684564442719845,0.0,0.5398590799028784,0.007188174117662134,16,4.803820762374255,0.375,0.6548015666103836,0.2798015666103835,0.0,0.5479405055737264,0.011738595935437798,0.00808142567084802,0.011345122338399016,0.011345122338399016
25,Salinas,D,0,16,4.542685417946962,1.0625,0.7565052522777066,-0.30599474772229346,0.0,0.5328394116632938,0.007002456961361987,16,4.474639486076434,1.0625,0.7297539923999328,-0.3327460076000673,0.0,0.5288335918602156,0.010934209972031867,-0.004005819803078237,-0.026751259877773825,-0.026751259877773825
46,Quito,A,11-50,13,4.503150787687758,364.53846153846155,213.61701938112898,-150.9214421573326,12.307692307692308,0.5885543428074589,0.006941515134798406,13,1.6830827684770946,364.53846153846155,343.32097185330724,-21.217489685154252,12.307692307692308,0.3598164883207394,0.004112773877784284,-0.22873785448671946,129.70395247217826,129.70395247217834
27,Daule,D,0,16,4.43789835798395,1.4375,1.269822047887083,-0.16767795211291703,0.0,0.5266579984904785,0.006840929844692246,16,4.505849034678421,1.4375,1.3447732661046192,-0.09272673389538086,0.0,0.5306746316410851,0.0110104734919441,0.00401663315060663,0.07495121821753625,0.07495121821753617
18,Quito,B,6-10,15,4.398621577259947,48.266666666666666,62.36058897110891,14.093922304442247,7.266666666666667,0.5415177176085714,0.006780385487930473,15,6.185835069949754,48.266666666666666,73.21122226488139,24.944555598214727,7.266666666666667,0.6421752133672842,0.015115680205668683,0.10065749575871286,10.850633293772475,10.85063329377248
3,Quito,D,0,16,4.176750201561028,1.0,1.1655979328732722,0.1655979328732723,0.0,0.5109274778259281,0.006438375285517642,16,4.726946079970771,1.0,1.3114197107241121,0.3114197107241122,0.0,0.5435385266916902,0.01155074528924641,0.03261104886576216,0.14582177785083994,0.14582177785083988
26,Guayaquil,D,0,16,4.092416199025237,0.8125,0.44654963422908167,-0.3659503657709184,0.0,0.5057430300449798,0.006308376139901444,16,4.144034748930113,0.8125,0.4658822553895206,-0.3466177446104794,0.0,0.5089225597358915,0.010126345645764995,0.003179529690911731,0.019332621160438934,0.01933262116043899
17,Quito,C,6-10,4,4.009727604183282,40.25,15.01430303655259,-25.23569696344741,6.25,1.0012152121526223,0.0061809133567008465,4,2.260046120431899,40.25,20.108534111611267,-20.141465888388733,6.25,0.7516724885932535,0.005522639064928747,-0.2495427235593688,5.094231075058676,5.094231075058676
39,Cuenca,B,1,4,3.688689197610419,7.75,3.1936955147379056,-4.556304485262094,1.0,0.9602980263452616,0.005686039197885178,4,4.2087225697422115,7.75,2.8723920208394835,-4.877607979160517,1.0,1.0257585692722986,0.010284416528926324,0.06546054292703696,-0.32130349389842205,-0.32130349389842294
