family,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
LAWN AND GARDEN,6-10,33,58,0.33868796547429514,0.3125957150359983,0.026092250438296827,0.016993456898250284,1.9668352891493383e-05,0.0007419932278698618,0.0011574074074074073,0.0010171156004489337,False,0.0,32.84848484848485,36.690456501022176,3.841971652537327,7.636363636363637
DELI,51+,67,184,0.16976590573485342,0.14473334408052135,0.02503256165433207,0.007872721861244558,1.8500012791224232e-05,0.0003784968099960419,0.0023498877665544334,0.0032267115600448934,False,0.0,439.3667164179104,466.60423173665225,27.23751531874181,62.80597014925373
MEATS,51+,17,39,0.21168629269065223,0.12786345681728464,0.08382283587336758,0.028462022923846867,1.6970201659139896e-05,0.00014932099209466113,0.0005962401795735129,0.000683922558922559,False,0.0,1283.8245276470589,1332.3649773655127,48.54044971845389,52.05882352941177
BREAD/BAKERY,11-50,242,321,0.17534285230935673,0.16965586920816736,0.005686983101189369,0.0019620018992020996,1.6652793897548683e-05,0.0014584044173736963,0.008487654320987654,0.005629208754208755,False,0.0,724.6144542148761,754.820942850291,30.206488635414924,14.264462809917354
PRODUCE,1,7,25,0.27321348522949224,0.10020048779600386,0.17301299743348836,0.06460547075668886,1.5861331905752735e-05,0.00010242094390693673,0.00024551066217732886,0.0004384118967452301,False,0.0,603.71414,486.165858843918,-117.54828115608204,1.0
BREAD/BAKERY,51+,27,69,0.20834948199093034,0.1755947852137569,0.032754696777173437,0.012575978051623578,1.190907012464354e-05,0.0002297391899340835,0.000946969696969697,0.001210016835016835,False,0.0,792.6296296296297,844.4541571730626,51.824527543433106,73.14814814814815
SEAFOOD,1,22,425,0.5061562757209247,0.4910225572415757,0.015133718479349023,0.015091023731620273,1.1644308434892187e-05,0.001104786614901553,0.0007716049382716049,0.007453002244668911,False,0.0,4.318181818181818,4.262149694682043,-0.05603212349977453,1.0
MEATS,1,20,75,0.22038903147674524,0.18461527077213857,0.035773760704606666,0.014488526992987763,1.0163108160064368e-05,0.00019041292285838129,0.0007014590347923681,0.0013152356902356903,False,0.0,439.50880450000005,469.3578086053071,29.849004105307095,1.0
POULTRY,2-5,4,23,0.30369047752708306,0.16603883467079109,0.13765164285629197,0.06465901152179343,9.071129562541167e-06,7.231173992782045e-05,0.00014029180695847364,0.0004033389450056117,False,0.0,164.25175000000002,181.8875367334138,17.635786733413823,2.0
DAIRY,51+,54,110,0.191799232161253,0.180731477949314,0.011067754211939007,0.004123078335902863,7.808860484664514e-06,0.0003893802856840037,0.001893939393939394,0.0019290123456790122,False,0.0,570.3703703703703,592.7526804038391,22.38231003346878,109.55555555555556
