store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
51,Guayaquil,Guayas,A,17,528,1056,0.36865090763768754,0.3632908672870334,0.005360040350654127,0.003923237447925887,7.265254533196087e-05,0.014065365064867314,0.018518518518518517,0.018518518518518517,False,0.10416666666666667,690.5850341477272,756.4554030681813,65.87036892045411,5.5852272727272725
32,Guayaquil,Guayas,C,3,528,1056,0.4527093212307831,0.44873736952913157,0.003971951701651544,0.0035805027173120008,6.630560587614816e-05,0.0212109083306939,0.018518518518518517,0.018518518518518517,False,0.29734848484848486,158.4080624943182,144.3843180624607,-14.023744431857489,4.361742424242424
27,Daule,Guayas,D,1,528,1056,0.37737028559045027,0.3739216295561319,0.003448656034318376,0.0025909473967049013,4.798050734638706e-05,0.014738585146373072,0.018518518518518517,0.018518518518518517,False,0.09090909090909091,447.00756254071973,488.33297234496956,41.325409804249865,5.1647727272727275
3,Quito,Pichincha,D,8,528,1056,0.30416444469758064,0.3023054949995864,0.0018589496979942166,0.0011273971112426284,2.0877724282270898e-05,0.009574966989545654,0.018518518518518517,0.018518518518518517,False,0.08901515151515152,1019.1038347651514,1108.0823106096066,88.97847584445512,5.9147727272727275
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,528,1056,0.3889309676246762,0.38892593922199814,5.028402678075583e-06,3.9113777535182415e-06,7.243292136144892e-08,0.01565544590617946,0.018518518518518517,0.018518518518518517,False,0.10416666666666667,296.2933312304924,335.17378541485994,38.88045418436749,4.986742424242424
28,Guayaquil,Guayas,E,10,528,1056,0.4263614423733185,0.4274998045611926,-0.0011383621878740535,-0.0009720033572012676,0.0,0.01881378770865684,0.018518518518518517,0.018518518518518517,False,0.13446969696969696,493.3105397537879,474.06266904195076,-19.247870711837145,7.40719696969697
52,Manta,Manabi,A,11,528,1056,0.35380470206381154,0.355620730613931,-0.001816028550119475,-0.0012883368399236594,0.0,0.012955303588278014,0.018518518518518517,0.018518518518518517,False,0.08712121212121213,692.2127915346591,796.1780640237778,103.9652724891187,5.90719696969697
41,Machala,El Oro,D,4,528,1056,0.3945843205167065,0.39799907192472705,-0.0034147514080205554,-0.00270647525531309,0.0,0.016113876892020353,0.018518518518518517,0.018518518518518517,False,0.11553030303030302,380.28364771590907,440.0912276792511,59.80757996334202,5.070075757575758
6,Quito,Pichincha,D,13,528,1056,0.3218978314381256,0.3268708224802244,-0.004972991042098807,-0.003226320704330432,0.0,0.010723992352240126,0.018518518518518517,0.018518518518518517,False,0.13446969696969696,488.06790516666666,553.2787397239784,65.21083455731173,5.607954545454546
18,Quito,Pichincha,B,16,528,1056,0.406635414006923,0.4171694595980291,-0.0105340455911061,-0.00867799809672995,0.0,0.017113182873731838,0.018518518518518517,0.018518518518518517,False,0.10795454545454546,307.60248296685603,331.5291442190381,23.926661252181987,7.494318181818182
35,Playas,Guayas,C,3,528,1056,0.42605687900490624,0.4380439322786914,-0.011987053273785131,-0.010358022458777427,0.0,0.018786918749920077,0.018518518518518517,0.018518518518518517,False,0.2821969696969697,172.78250944507576,161.54623504686884,-11.23627439820692,4.653409090909091
30,Guayaquil,Guayas,C,3,528,1056,0.4343160198920186,0.4482428256926667,-0.01392680580064809,-0.012291225650102072,0.0,0.019522349847870685,0.018518518518518517,0.018518518518518517,False,0.23674242424242425,199.87782387121212,198.0760661150747,-1.8017577561374232,5.079545454545454
10,Quito,Pichincha,C,15,528,1056,0.428401348478557,0.44636904887461715,-0.01796770039606016,-0.015717612414984317,0.0,0.01899424572530229,0.018518518518518517,0.018518518518518517,False,0.2215909090909091,217.5293579943182,198.79662886204545,-18.732729132272734,5.079545454545454
29,Guayaquil,Guayas,E,10,528,1056,0.3790049317948354,0.40097331727448476,-0.021968385479649355,-0.017134862841296783,0.0,0.014866547274698726,0.018518518518518517,0.018518518518518517,False,0.12878787878787878,404.055041655303,398.8850581034303,-5.169983551872704,7.768939393939394
46,Quito,Pichincha,A,14,528,1056,0.31450923606651576,0.34018935792463084,-0.02568012185811508,-0.01681273967402927,0.0,0.010237341743184138,0.018518518518518517,0.018518518518518517,False,0.07386363636363637,865.0787709905303,980.2365057497419,115.1577347592116,6.8125
13,Latacunga,Cotopaxi,C,15,528,1056,0.3966944717309856,0.42614219732403313,-0.029447725593047536,-0.02423066843822949,0.0,0.016286684754313784,0.018518518518518517,0.018518518518518517,False,0.2196969696969697,217.65513641098485,203.84057797474804,-13.8145584362368,4.634469696969697
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,528,1056,0.3980274566092445,0.42990985211243743,-0.03188239550319294,-0.02639662472851384,0.0,0.016396322680658514,0.018518518518518517,0.018518518518518517,False,0.14393939393939395,446.900240657197,433.56059099640237,-13.339649660794635,7.5018939393939394
49,Quito,Pichincha,A,11,528,1056,0.317791428544338,0.355607666719747,-0.03781623817540897,-0.02546542057361155,0.0,0.010452128785580415,0.018518518518518517,0.018518518518518517,False,0.08333333333333333,981.5128731496212,1100.1783979787158,118.66552482909458,6.933712121212121
45,Quito,Pichincha,A,11,528,1056,0.34919773961289025,0.44867551490857577,-0.09947777529568552,-0.07937065632772368,0.0,0.01262011293517922,0.018518518518518517,0.018518518518518517,False,0.08143939393939394,1195.5843173087121,1270.5069819576438,74.92266464893176,7.015151515151516
