store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
11,Cayambe,Pichincha,B,6,0,279,566,0.49127660818820557,0.4582805876307591,0.03299602055744649,0.0313316087537138,0.00030659086848646707,0.01319905523899815,0.009785353535353536,0.009925645342312009,False,0.1971326164874552,65.88807889605734,61.74077778355007,-4.147301112507274,0.0
48,Quito,Pichincha,A,14,2-5,55,114,0.48044211419463484,0.2805362649740014,0.19990584922063342,0.15212402912624745,0.00029344913025896495,0.0024884636403375393,0.0019290123456790122,0.001999158249158249,False,0.0,98.61201818181819,96.04598928469099,-2.566028897127198,2.8727272727272726
36,Libertad,Guayas,E,10,1,54,79,0.568826326801788,0.41163987676797703,0.157186450033811,0.15411600191725916,0.00029188636726753625,0.0034248346442516705,0.001893939393939394,0.001385381593714927,False,0.0,75.30651842592592,59.65663140779124,-15.649887018134692,1.0
49,Quito,Pichincha,A,11,2-5,59,69,0.46096526847404407,0.27422347909609907,0.186741789377945,0.13729046225177885,0.000284095723655126,0.0024573945572862535,0.002069304152637486,0.001210016835016835,False,0.0,114.64727128813558,125.48085658389643,10.833585295760827,2.864406779661017
14,Riobamba,Chimborazo,C,7,1,51,86,0.6306654279606014,0.4892040871956327,0.14146134076496875,0.15841824309581637,0.0002833659651335099,0.003976076173103397,0.0017887205387205388,0.0015081369248035915,False,0.0,37.9731568627451,40.6300241943738,2.6568673316287037,1.0
23,Ambato,Tungurahua,D,9,2-5,60,111,0.48355327620677413,0.32561959191375384,0.1579336842930203,0.1277956522922252,0.0002689302447226961,0.002749960031620975,0.0021043771043771043,0.0019465488215488216,False,0.0,234.302,278.9850829245703,44.68308292457026,3.5
54,El Carmen,Manabi,C,3,0,322,623,0.47563724666708307,0.45107888665519974,0.02455836001188333,0.022758628430949113,0.00025702435307118455,0.014278877105334542,0.011293490460157127,0.010925224466891134,False,0.422360248447205,13.099965832298135,11.919081138952993,-1.1808846933451436,0.0
47,Quito,Pichincha,A,14,2-5,52,95,0.46125204198045694,0.2919115371471414,0.16934050483331553,0.12754110071153432,0.0002326086292438196,0.002168534912188329,0.001823793490460157,0.0016659652076318743,False,0.0,124.16034615384615,126.66709179249311,2.506745638646966,2.673076923076923
48,Quito,Pichincha,A,14,6-10,76,60,0.35800676317411617,0.2054152310605911,0.15259153211352508,0.08597342532673169,0.0002291659766004352,0.0019093367229904795,0.002665544332210999,0.0010521885521885522,False,0.0,1367.9571184210527,1605.4730506728906,237.51593225183808,7.9605263157894735
36,Libertad,Guayas,E,10,0,306,600,0.5314684004149002,0.5112206459110263,0.020247754503873838,0.02111211183388567,0.00022658200831821745,0.016941926493159072,0.010732323232323232,0.010521885521885523,False,0.3366013071895425,79.16237264705883,54.40964519940865,-24.75272744765018,0.0
50,Ambato,Tungurahua,A,14,0,281,554,0.4384476903767112,0.41173564902956883,0.02671204134714239,0.02271013251487214,0.00022381969825614027,0.010588351849980894,0.009855499438832772,0.009715207631874298,False,0.17793594306049823,79.20425270462634,82.52251346560192,3.3182607609755874,0.0
50,Ambato,Tungurahua,A,14,2-5,57,104,0.42230640882270215,0.2599405632601735,0.16236584556252864,0.11077360650471099,0.00022145396923290288,0.0019925841495615675,0.001999158249158249,0.001823793490460157,False,0.0,201.18473684210528,240.28689650105704,39.10215965895177,3.245614035087719
39,Cuenca,Azuay,B,6,1,60,81,0.47534991649557823,0.3503551165008021,0.12499479999477614,0.10320883545406263,0.00021719031029895336,0.0026574467169441724,0.0021043771043771043,0.0014204545454545455,False,0.0,95.7067,108.77766663041582,13.070966630415825,1.0
30,Guayaquil,Guayas,C,3,0,315,627,0.4821673235870768,0.46242394992384894,0.01974337366322787,0.01864941847195048,0.00020603839852218018,0.014354648910952112,0.011047979797979798,0.01099537037037037,False,0.3968253968253968,8.516387314285714,8.014468934906951,-0.5019183793787635,0.0
42,Cuenca,Azuay,D,2,1,41,77,0.5618540745121816,0.417013204319434,0.1448408701927476,0.14177998846917805,0.00020387835042214858,0.002536982066336007,0.0014379910213243546,0.0013503086419753086,False,0.0,68.07382902439024,70.98286372592972,2.909034701539485,1.0
12,Latacunga,Cotopaxi,C,15,0,287,630,0.4811126216814335,0.4596351800013569,0.021477441680076592,0.020204856046302427,0.0002033808110721379,0.013021525594188706,0.010065937149270482,0.011047979797979798,False,0.30662020905923343,18.195348463414636,18.979738542170026,0.7843900787553924,0.0
24,Guayaquil,Guayas,D,1,0,311,605,0.42678957268677126,0.40440441330456606,0.0223851593822052,0.018606409853946543,0.00020295291331991354,0.011103872353406794,0.010907687991021325,0.010609567901234568,False,0.24115755627009647,73.43613509324759,75.88201581123238,2.4458807179847915,0.0
6,Quito,Pichincha,D,13,2-5,52,107,0.40424799436957576,0.24014230591148666,0.1641056884580891,0.10574811386333852,0.0001928627216923963,0.0016656569550680374,0.001823793490460157,0.0018764029180695847,False,0.0,271.99746153846155,293.9173379146717,21.919876376210155,3.3653846153846154
31,Babahoyo,Los Rios,B,10,0,296,595,0.48413954757841765,0.466730364759958,0.017409182818459656,0.016553868140471467,0.00017185553344484968,0.013599386045387895,0.010381593714927048,0.010434203142536475,False,0.2635135135135135,28.239415587837836,28.60935393595471,0.3699383481168707,0.0
7,Quito,Pichincha,D,8,2-5,56,78,0.45211604848713804,0.3501915526341849,0.10192449585295316,0.08177479776328309,0.00016061267798624625,0.002243749373076875,0.001964085297418631,0.001367845117845118,False,0.0,581.0205178571429,648.8588050721513,67.83828721500855,3.1964285714285716
39,Cuenca,Azuay,B,6,11-50,58,168,0.4079459069212403,0.2975807466897769,0.11036516023146337,0.07786556217334807,0.0001583965560484774,0.0018919934337618793,0.0020342312008978674,0.002946127946127946,False,0.0,1814.7739655172413,2109.5561267765265,294.7821612592851,24.086206896551722
22,Puyo,Pastaza,C,7,0,304,633,0.526889241859344,0.5127295066675135,0.014159735191830558,0.014720726179602628,0.00015695499293627942,0.016542407583600358,0.010662177328843996,0.011100589225589225,False,0.34539473684210525,16.79186835526316,15.778758955270067,-1.0131093999930905,0.0
18,Quito,Pichincha,B,16,2-5,47,100,0.444136364010085,0.3231078206966877,0.1210285433133973,0.09285844604073581,0.0001530705304403263,0.0018172596962428627,0.0016484287317620652,0.0017536475869809204,False,0.0,76.19478723404255,84.76110157606213,8.566314342019577,3.0
42,Cuenca,Azuay,D,2,6-10,77,54,0.30664648538075073,0.19532272231831693,0.1113237630624338,0.05588110114252863,0.0001509134675917054,0.0014192312952504066,0.002700617283950617,0.000946969696969697,False,0.0,809.3188571428572,1036.9869437900868,227.66808664722961,7.922077922077922
25,Salinas,Santa Elena,D,1,6-10,54,71,0.3787933617209035,0.2549101339186852,0.12388322780221828,0.0785052345093812,0.00014868415626776742,0.0015187453104925132,0.001893939393939394,0.0012450897867564534,False,0.0,508.42225925925925,451.35757029831586,-57.064688960943414,7.944444444444445
37,Cuenca,Azuay,D,2,6-10,79,81,0.320305667221859,0.22263384554828414,0.09767182167357485,0.05302989127082304,0.00014693327056660425,0.001588703337978411,0.002770763187429854,0.0014204545454545455,False,0.0,845.808784556962,1068.2306326303476,222.42184807338566,8.265822784810126
42,Cuenca,Azuay,D,2,0,306,644,0.4114372398257032,0.3946873050251046,0.01674993480059861,0.013502533567413266,0.0001449135547007737,0.010153484105076454,0.010732323232323232,0.011293490460157127,False,0.21241830065359477,39.41388235294117,42.77458842656508,3.360706073623902,0.0
17,Quito,Pichincha,C,12,1,56,61,0.3964587948912723,0.288909024426233,0.10754977046503927,0.07371115165172219,0.0001447749892149426,0.0017253237919992181,0.001964085297418631,0.0010697250280583613,False,0.0,94.68883928571428,94.24267161882379,-0.4461676668904962,1.0
7,Quito,Pichincha,D,8,0,290,608,0.38794765979149526,0.36961230903956344,0.018335350751931823,0.013890127744140002,0.00014127865620793353,0.008555211330497543,0.010171156004489338,0.010662177328843996,False,0.15862068965517243,88.5019277137931,95.8527445263506,7.350816812557499,0.0
37,Cuenca,Azuay,D,2,0,304,613,0.40816831591830977,0.3916185539611065,0.016549761957203257,0.01323628231300103,0.00014112758919585837,0.009927471156206982,0.010662177328843996,0.010749859708193041,False,0.23355263157894737,43.67402299671053,47.39681822433607,3.72279522762555,0.0
