family,store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
DELI,41,Machala,El Oro,D,4,16,32,0.2517768221659682,0.12815852013555643,0.12361830203041177,0.04696696189665776,2.635631980732759e-05,0.00019880987365619463,0.0005611672278338945,0.0005611672278338945,False,0.0,221.214875,266.75262746450545,45.53775246450545,13.4375
CLEANING,3,Quito,Pichincha,D,8,16,32,0.23265092427325132,0.08679985233481376,0.14585107193843755,0.04659223819985264,2.614603714918779e-05,0.00016975243719149997,0.0005611672278338945,0.0005611672278338945,False,0.0,1925.1875,2256.828417412114,331.6409174121142,14.4375
LAWN AND GARDEN,52,Manta,Manabi,A,11,16,32,0.3542882012374083,0.28096315905163205,0.07332504218577623,0.04657983279176563,2.613907564072145e-05,0.0003936586806547035,0.0005611672278338945,0.0005611672278338945,False,0.0,54.0,67.41727467998443,13.417274679984432,1.1875
HOME APPLIANCES,27,Daule,Guayas,D,1,16,32,0.4347274795945013,0.3774046200815425,0.05732285951295879,0.04655373425569412,2.612442999758368e-05,0.0005927077970491407,0.0005611672278338945,0.0005611672278338945,False,0.75,0.375,0.2285207194803821,-0.1464792805196179,0.0
MAGAZINES,32,Guayaquil,Guayas,C,3,16,32,0.3680640796702229,0.2983014709353106,0.0697626087349123,0.046487399181318265,2.6087204927788026e-05,0.00042486731780884136,0.0005611672278338945,0.0005611672278338945,False,0.75,0.3125,0.33544817059325366,0.022948170593253638,0.0
GROCERY I,28,Guayaquil,Guayas,E,10,16,32,0.26250441748000847,0.14990656487527754,0.11259785260473093,0.04643659100381277,2.6058693043665977e-05,0.00021611239994710584,0.0005611672278338945,0.0005611672278338945,False,0.0,5808.742625,4969.624102894026,-839.1185221059739,59.3125
LINGERIE,50,Ambato,Tungurahua,A,14,16,32,0.813879526068726,0.7849655172359832,0.028914008832742866,0.04622901970429949,2.594221083294023e-05,0.002077431444289397,0.0005611672278338945,0.0005611672278338945,False,0.0,4.5625,1.637971846858675,-2.924528153141325,0.0
AUTOMOTIVE,47,Quito,Pichincha,A,14,16,32,0.4243813169224774,0.3659624382273892,0.05841887869508816,0.04617099595952051,2.590964980893407e-05,0.000564831574553998,0.0005611672278338945,0.0005611672278338945,False,0.0,17.8125,16.50767854323439,-1.3048214567656107,0.0
DAIRY,28,Guayaquil,Guayas,E,10,16,32,0.27492365480911296,0.17246334898669993,0.10246030582241303,0.045839409229892034,2.572357420308195e-05,0.0002370449302279295,0.0005611672278338945,0.0005611672278338945,False,0.0,908.125,1042.0147170903463,133.88971709034615,33.125
CLEANING,47,Quito,Pichincha,A,14,16,32,0.25539992967162134,0.1399755412873382,0.11542438838428315,0.045635971917585796,2.560941185049708e-05,0.0002045728523308574,0.0005611672278338945,0.0005611672278338945,False,0.0,2269.5625,2818.3176663522045,548.7551663522044,15.6875
FROZEN FOODS,43,Esmeraldas,Esmeraldas,E,10,16,32,0.3777989337589993,0.31214670447518855,0.06565222928381076,0.04529646923471606,2.54188940711089e-05,0.0004476389925412637,0.0005611672278338945,0.0005611672278338945,False,0.0,79.7005,67.78571963350232,-11.91478036649767,3.375
HOME CARE,1,Quito,Pichincha,D,13,16,32,0.2711119481277883,0.16796727995888122,0.1031446681689071,0.045288681280859396,2.5414523726632657e-05,0.00023051743011526777,0.0005611672278338945,0.0005611672278338945,False,0.0,162.0,200.6669785574571,38.6669785574571,6.25
PET SUPPLIES,38,Loja,Loja,D,4,16,32,0.3976371673472549,0.3361985775950318,0.061438589752223105,0.04508583327902621,2.5300692075772286e-05,0.0004958843434506048,0.0005611672278338945,0.0005611672278338945,False,0.0,8.625,7.028048250372292,-1.5969517496277077,0.0
FROZEN FOODS,44,Quito,Pichincha,A,5,16,32,0.23419725779393805,0.09908906403146032,0.13510819376247774,0.04502971294756944,2.5269199184943568e-05,0.00017201648345114252,0.0005611672278338945,0.0005611672278338945,False,0.0,431.4411875,504.2612606607581,72.82007316075814,1.3125
