family,store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
BEVERAGES,41,Machala,El Oro,D,4,6-10,8,0,0.3851606651771909,,,,0.0,0.0002326271040893064,0.0002805836139169473,0.0,True,0.0,2143.5,3103.668374250234,960.1683742502341,7.75
LADIESWEAR,49,Quito,Pichincha,A,11,6-10,4,0,0.5425753389432636,,,,0.0,0.00023081634692908472,0.00014029180695847364,0.0,True,0.0,19.75,34.09562462163939,14.345624621639384,6.75
LINGERIE,8,Quito,Pichincha,D,8,2-5,6,0,0.43931362000667046,,,,0.0,0.00022697972071963361,0.00021043771043771043,0.0,True,0.0,28.833333333333332,23.905943340436068,-4.927389992897268,2.3333333333333335
BEAUTY,23,Ambato,Tungurahua,D,9,2-5,7,0,0.4026195123727971,,,,0.0,0.00022242015969493919,0.00024551066217732886,0.0,True,0.0,4.0,2.566051277257617,-1.4339487227423828,2.0
BEAUTY,42,Cuenca,Azuay,D,2,2-5,7,0,0.40229478513565103,,,,0.0,0.00022206152453033647,0.00024551066217732886,0.0,True,0.0,7.714285714285714,5.192013978061458,-2.522271736224256,2.0
LINGERIE,9,Quito,Pichincha,B,6,2-5,9,0,0.35188671956038425,,,,0.0,0.0002184412906020791,0.0003156565656565657,0.0,True,0.0,11.11111111111111,7.929758353405924,-3.181352757705187,2.4444444444444446
HOME AND KITCHEN I,11,Cayambe,Pichincha,B,6,0,7,0,0.39772114659202085,,,,0.0,0.00021704104748075184,0.00024551066217732886,0.0,True,0.0,19.714285714285715,17.1327778050415,-2.5815079092442157,0.0
BEAUTY,4,Quito,Pichincha,D,9,2-5,8,0,0.3718499677442206,,,,0.0,0.00021682629778246968,0.0002805836139169473,0.0,True,0.0,8.375,6.105120774816539,-2.2698792251834603,2.0
BEVERAGES,26,Guayaquil,Guayas,D,10,6-10,11,0,0.3108540252633708,,,,0.0,0.00020834934871470856,0.00038580246913580245,0.0,True,0.0,786.3636363636364,1026.400720217043,240.03708385340659,8.0
SCHOOL AND OFFICE SUPPLIES,14,Riobamba,Chimborazo,C,7,2-5,6,0,0.4191358177827048,,,,0.0,0.00020660806617206235,0.00021043771043771043,0.0,True,0.0,6.333333333333333,5.5897442969086795,-0.7435890364246546,3.0
HOME AND KITCHEN I,5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0,4,0,0.512267060167582,,,,0.0,0.00020574975369702243,0.00014029180695847364,0.0,True,0.0,33.25,21.39045370549853,-11.859546294501468,0.0
BEVERAGES,46,Quito,Pichincha,A,14,6-10,12,0,0.2954823726329719,,,,0.0,0.00020536710094827337,0.00042087542087542086,0.0,True,0.0,5814.083333333333,7713.716693830458,1899.6333604971244,8.666666666666666
HOME AND KITCHEN I,31,Babahoyo,Los Rios,B,10,0,9,0,0.3398100292200201,,,,0.0,0.00020370484838191415,0.0003156565656565657,0.0,True,0.0,17.88888888888889,19.586114572909203,1.697225684020312,0.0
HOME CARE,5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,2-5,6,0,0.41510728372261063,,,,0.0,0.00020265551605379788,0.00021043771043771043,0.0,True,0.0,186.16666666666666,277.13769939953437,90.97103273286768,4.666666666666667
BEAUTY,45,Quito,Pichincha,A,11,2-5,12,0,0.2933028663593207,,,,0.0,0.0002023486595107846,0.00042087542087542086,0.0,True,0.0,17.0,15.613399018939697,-1.3866009810603022,2.0
LINGERIE,47,Quito,Pichincha,A,14,2-5,4,0,0.5043810178346153,,,,0.0,0.00019946372715376847,0.00014029180695847364,0.0,True,0.0,10.0,5.859881390861708,-4.140118609138292,2.0
BEAUTY,3,Quito,Pichincha,D,8,2-5,8,0,0.3519610220300773,,,,0.0,0.00019425204450774185,0.0002805836139169473,0.0,True,0.0,20.875,16.54857415261955,-4.326425847380449,2.0
SCHOOL AND OFFICE SUPPLIES,13,Latacunga,Cotopaxi,C,15,2-5,5,0,0.44239581674215384,,,,0.0,0.00019181320360419244,0.00017536475869809202,0.0,True,0.0,10.8,6.948702071618851,-3.851297928381149,3.2
SCHOOL AND OFFICE SUPPLIES,22,Puyo,Pastaza,C,7,2-5,4,0,0.49141987888633465,,,,0.0,0.0001893441552176847,0.00014029180695847364,0.0,True,0.0,7.75,11.815606600301255,4.065606600301255,3.75
HOME AND KITCHEN I,28,Guayaquil,Guayas,E,10,0,7,0,0.36954434464444413,,,,0.0,0.00018737758271982405,0.00024551066217732886,0.0,True,0.0,34.0,27.196573033945217,-6.803426966054782,0.0
HOME AND KITCHEN I,45,Quito,Pichincha,A,11,0,9,0,0.3228890762844395,,,,0.0,0.00018392284906532493,0.0003156565656565657,0.0,True,0.0,69.77777777777777,58.20634522455826,-11.57143255321952,0.0
GROCERY I,37,Cuenca,Azuay,D,2,11-50,13,0,0.2658264180059107,,,,0.0,0.0001800636718206173,0.00045594837261503927,0.0,True,0.0,3183.6153846153848,3833.4067797800303,649.7913951646456,33.61538461538461
PERSONAL CARE,44,Quito,Pichincha,A,5,11-50,13,0,0.2639182452644874,,,,0.0,0.0001774878601811987,0.00045594837261503927,0.0,True,0.0,589.6153846153846,730.9592697968484,141.3438851814637,13.538461538461538
BEAUTY,50,Ambato,Tungurahua,A,14,2-5,12,0,0.268439546691517,,,,0.0,0.00016949649064800323,0.00042087542087542086,0.0,True,0.0,15.833333333333334,15.440423168891913,-0.3929101644414206,2.0
LADIESWEAR,44,Quito,Pichincha,A,5,6-10,8,0,0.3213608175217353,,,,0.0,0.00016194304658294066,0.0002805836139169473,0.0,True,0.0,36.125,47.345795684926095,11.220795684926095,8.625
HOME CARE,4,Quito,Pichincha,D,9,2-5,7,0,0.33428928205298425,,,,0.0,0.00015333080516181883,0.00024551066217732886,0.0,True,0.0,201.14285714285714,249.8775970359643,48.73473989310715,4.714285714285714
HOME AND KITCHEN I,34,Guayaquil,Guayas,B,6,0,8,0,0.30880468910985676,,,,0.0,0.00014953547371922678,0.0002805836139169473,0.0,True,0.0,26.125,27.956109943139857,1.8311099431398592,0.0
HOME AND KITCHEN II,39,Cuenca,Azuay,B,6,2-5,4,0,0.4356541085624892,,,,0.0,0.00014880930582609626,0.00014029180695847364,0.0,True,0.0,16.0,19.55157194331836,3.551571943318362,2.0
BEVERAGES,48,Quito,Pichincha,A,14,6-10,11,0,0.26198570243714925,,,,0.0,0.00014799067057101907,0.00038580246913580245,0.0,True,0.0,4472.272727272727,5712.581956310067,1240.309229037339,8.454545454545455
LADIESWEAR,48,Quito,Pichincha,A,14,6-10,5,0,0.3839944172809711,,,,0.0,0.0001445127935324593,0.00017536475869809202,0.0,True,0.0,32.4,43.40821029023097,11.008210290230966,7.0
BEVERAGES,4,Quito,Pichincha,D,9,6-10,12,0,0.24512461184902418,,,,0.0,0.00014133234184738935,0.00042087542087542086,0.0,True,0.0,2340.6666666666665,2866.1611018484455,525.4944351817788,7.916666666666667
HOME AND KITCHEN I,49,Quito,Pichincha,A,11,1,5,0,0.37560251538725864,,,,0.0,0.00013826538256135837,0.00017536475869809202,0.0,True,0.0,70.0,56.83301655202298,-13.166983447977026,1.0
BEAUTY,51,Guayaquil,Guayas,A,17,2-5,7,0,0.3138259274237285,,,,0.0,0.00013513322860645555,0.00024551066217732886,0.0,True,0.0,9.428571428571429,6.944235181795024,-2.484336246776404,2.0
CLEANING,5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,6-10,6,0,0.3372603540552264,,,,0.0,0.00013377295012323448,0.00021043771043771043,0.0,True,0.0,753.6666666666666,1026.6905762655488,273.0239095988821,9.333333333333334
BEVERAGES,2,Quito,Pichincha,D,13,6-10,10,0,0.2595655475904087,,,,0.0,0.00013206281988645927,0.00035072951739618404,0.0,True,0.0,2562.2,3312.678192313687,750.4781923136869,8.1
HOME AND KITCHEN I,9,Quito,Pichincha,B,6,1,8,0,0.2889308960011669,,,,0.0,0.00013090746922206657,0.0002805836139169473,0.0,True,0.0,47.25,38.57879271484229,-8.671207285157715,1.0
PERSONAL CARE,48,Quito,Pichincha,A,14,11-50,12,0,0.23031405108416247,,,,0.0,0.000124769543458445,0.00042087542087542086,0.0,True,0.0,904.5,887.4993935544167,-17.00060644558336,12.25
BREAD/BAKERY,25,Salinas,Santa Elena,D,1,11-50,4,0,0.3940064944717503,,,,0.0,0.00012171755597586008,0.00014029180695847364,0.0,True,0.0,471.03000000000003,330.3807553331916,-140.64924466680844,11.0
GROCERY I,50,Ambato,Tungurahua,A,14,11-50,13,0,0.21366367712162276,,,,0.0,0.00011632986390966813,0.00045594837261503927,0.0,True,0.0,6571.538461538462,7866.290295220764,1294.7518336823023,37.69230769230769
LINGERIE,18,Quito,Pichincha,B,16,1,4,0,0.3809069635498451,,,,0.0,0.00011375861268451344,0.00014029180695847364,0.0,True,0.0,3.0,4.701610417664489,1.7016104176644893,1.0
