family,store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
DAIRY,11,Cayambe,Pichincha,B,6,11-50,11,24,0.17270046965677355,0.14515482048023584,0.027545649176537707,0.008755530311020669,3.3779052125851347e-06,6.430817628383705e-05,0.00038580246913580245,0.00042087542087542086,False,0.0,648.4545454545455,724.563061784069,76.10851632952358,15.272727272727273
SEAFOOD,53,Manta,Manabi,D,13,0,14,29,0.6251194640276545,0.6195985799951015,0.0055208840325530195,0.006871943974275818,3.374271031139922e-06,0.001072359861395669,0.0004910213243546577,0.0005085578002244669,False,0.07142857142857142,3.9285714285714284,2.6043441234468703,-1.3242273051245588,0.0
BOOKS,22,Puyo,Pastaza,C,7,0,16,32,0.19415002211144994,0.17813303606077757,0.016016986050672366,0.005962852549646208,3.3461574352672322e-06,0.00011821738339824849,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.2070580692881649,0.2070580692881649,0.0
PRODUCE,27,Daule,Guayas,D,1,11-50,4,10,0.17108009816445754,0.07379009889526246,0.09728999926919508,0.02382342129298782,3.3422308211262374e-06,2.2948031854975524e-05,0.00014029180695847364,0.00017536475869809202,False,0.0,2400.6059999999998,2789.748640603515,389.14264060351525,12.5
PERSONAL CARE,32,Guayaquil,Guayas,C,3,6-10,5,7,0.25856433301502885,0.21867723117075133,0.03988710184427752,0.01903578287500053,3.338205470503741e-06,6.552299035139142e-05,0.00017536475869809202,0.00012275533108866443,False,0.0,99.4,86.18810035424758,-13.211899645752421,7.0
BEAUTY,35,Playas,Guayas,C,3,1,5,3,0.2080234139457295,0.1563416718709156,0.05168174207481391,0.018831022386243294,3.3022976968019244e-06,4.24112345402848e-05,0.00017536475869809202,5.260942760942761e-05,False,0.0,1.4,1.4937013861437252,0.0937013861437253,1.0
HOME CARE,19,Guaranda,Bolivar,C,15,2-5,4,3,0.200371594039578,0.12907620930454242,0.07129538473503558,0.02348810788953141,3.2951890978579423e-06,3.147884353207139e-05,0.00014029180695847364,5.260942760942761e-05,False,0.0,189.5,212.54653149866192,23.046531498661935,5.0
FROZEN FOODS,49,Quito,Pichincha,A,11,1,12,20,0.15310491221759215,0.12501659560950146,0.02808831660809069,0.007811964967366976,3.2878640435046195e-06,5.5137359849576424e-05,0.00042087542087542086,0.00035072951739618404,False,0.0,320.73358333333334,358.5940866280026,37.86050329466927,1.0
HOME AND KITCHEN I,25,Salinas,Santa Elena,D,1,1,5,4,0.5159259668513764,0.497450653623004,0.01847531322837237,0.018722450481573644,3.283258010938139e-06,0.0002608742712931187,0.00017536475869809202,7.014590347923682e-05,False,0.0,13.8,11.752577987432499,-2.047422012567501,1.0
PRODUCE,37,Cuenca,Azuay,D,2,11-50,4,14,0.17929895029118412,0.09402766829398157,0.08527128199720255,0.023306911170717485,3.26976868276059e-06,2.5205885347743086e-05,0.00014029180695847364,0.00024551066217732886,False,0.0,2434.542,2803.4418761081088,368.89987610810886,13.5
BEAUTY,29,Guayaquil,Guayas,E,10,1,7,12,0.36901189290929265,0.3506984043973029,0.018313488511989773,0.013180406261685054,3.2359302690725092e-06,0.00018683801205731352,0.00024551066217732886,0.00021043771043771043,False,0.0,5.0,3.247934834958014,-1.7520651650419856,1.0
HOME CARE,35,Playas,Guayas,C,3,6-10,4,8,0.245593491339919,0.19307336576785597,0.05252012557206304,0.023038838419602574,3.23216027211035e-06,4.729118196416844e-05,0.00014029180695847364,0.00014029180695847364,False,0.0,118.25,109.40336734582387,-8.84663265417613,6.25
BEVERAGES,5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,11-50,5,32,0.1960240697270199,0.14169568261206045,0.054328387114959464,0.0183477694414458,3.2175521607473694e-06,3.765956320299814e-05,0.00017536475869809202,0.0005611672278338945,False,0.0,2252.2,2435.384501606747,183.18450160674738,21.0
