store_nbr,city,state,store_type,cluster,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,1584,0.42464645626813263,0.31023220772623994,0.2518939393939394,0.004419191919191919,196.0155946881313,192.87305994452706,310488.701986,305510.92695213086,-3.1425347436042625,6.38699494949495
40,Machala,El Oro,C,3,1584,0.4233583604131051,0.3026841661655159,0.17992424242424243,0.003787878787878788,512.7831161837122,471.49569422389544,812248.456035,746849.1796506504,-41.28742195981668,7.246843434343434
54,El Carmen,Manabi,C,3,1584,0.42292578666907105,0.29956204221703975,0.25315656565656564,0.003787878787878788,315.1796401401515,283.45573082100447,499244.54998199997,448993.8776204711,-31.72390931914703,5.686868686868687
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,1584,0.42033993016169613,0.3049317633194471,0.12247474747474747,0.0006313131313131314,423.65717876073234,395.8537783731168,671072.971157,627032.384943017,-27.803400387615532,8.096590909090908
34,Guayaquil,Guayas,B,6,1584,0.41876644327661183,0.29671143354947727,0.10542929292929293,0.0,328.3316060972222,325.6861677031558,520077.264058,515886.88964179874,-2.645438394066446,7.299873737373737
15,Ibarra,Imbabura,C,15,1584,0.41824537564620234,0.2965561169999448,0.16603535353535354,0.003787878787878788,232.74178787436867,236.91719356600666,368662.991993,375276.83460855455,4.175405691637956,6.488636363636363
13,Latacunga,Cotopaxi,C,15,1584,0.41623566723714606,0.3046958554594991,0.22285353535353536,0.003787878787878788,208.07079927335857,199.8879877199632,329584.146049,316622.57254842174,-8.18281155339538,5.299242424242424
18,Quito,Pichincha,B,16,1584,0.4154986876587598,0.29783636847193756,0.1111111111111111,0.0006313131313131314,317.4518440034722,332.01809756409006,502843.7209015,525916.6665415186,14.5662535606178,8.073232323232324
20,Quito,Pichincha,B,6,1584,0.41511161547170167,0.29530791651078786,0.13131313131313133,0.0006313131313131314,510.1207708119318,472.1846531537344,808031.3009661,747940.4905955154,-37.9361176581974,8.4135101010101
43,Esmeraldas,Esmeraldas,E,10,1584,0.4120880116532533,0.2941825823330422,0.1875,0.0025252525252525255,491.10749418939395,470.66763972477526,777914.270796,745537.541324044,-20.439854464618694,7.53219696969697
33,Quevedo,Los Rios,C,3,1584,0.4094225573504338,0.2901609627163077,0.22537878787878787,0.003787878787878788,311.2938327695707,297.49025273547323,493089.431107,471224.5603329896,-13.803580034097482,7.958964646464646
11,Cayambe,Pichincha,B,6,1584,0.4090217613340164,0.30374143302157025,0.10669191919191919,0.0006313131313131314,620.1220056957071,604.8871846059324,982273.257022,958141.3004157969,-15.234821089774675,8.47411616161616
12,Latacunga,Cotopaxi,C,15,1584,0.40811440189769604,0.2990964916123921,0.18055555555555555,0.001893939393939394,235.7311862506313,239.18583928858038,373398.199021,378870.36943311134,3.4546530379490803,6.2771464646464645
45,Quito,Pichincha,A,11,1584,0.4054940675943142,0.2288781652553521,0.07891414141414141,0.0012626262626262627,1255.32798589899,1249.2162264912793,1988439.529664,1978758.5027621863,-6.1117594077106,8.617424242424242
39,Cuenca,Azuay,B,6,1584,0.4007755052977025,0.29301868488319527,0.09848484848484848,0.0006313131313131314,511.22484985606064,514.9438065783211,809780.162172,815670.9896200607,3.718956722260537,8.542929292929292
41,Machala,El Oro,D,4,1584,0.3968491926591074,0.29054701987462145,0.10606060606060606,0.0012626262626262627,412.062732885101,412.52923617012436,652707.36889,653446.310093477,0.46650328502337457,6.346590909090909
23,Ambato,Tungurahua,D,9,1584,0.39619657400387165,0.28814189660483397,0.1597222222222222,0.0031565656565656565,240.07414131218434,253.22092983650157,380277.4398385,401101.9528610185,13.146788524317232,5.784722222222222
